Totalt_antal_fall,Kumulativa_fall,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Södermanland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra_Götaland,Örebro,Östergötland,Antal_avlidna,Kumulativa_avlidna,Antal_intensivvardade,Kumulativa_intensivvardade,Statistikdatum
464,10912,1,31,0,17,3,6,9,2,4,2,14,182,14,13,4,0,5,18,42,75,22,97,1355,36,911,12/04/2020
395,10448,0,9,0,10,2,2,5,3,10,2,6,200,22,15,2,2,0,33,32,13,27,102,1258,45,875,11/04/2020
454,10053,1,17,0,18,4,8,19,1,4,6,23,148,41,4,3,15,8,27,69,7,31,90,1156,36,830,10/04/2020
645,9599,1,30,1,18,12,8,21,1,5,5,11,240,38,29,4,12,4,25,116,10,54,86,1066,36,794,09/04/2020
654,8954,2,28,1,17,9,8,18,2,7,12,15,271,33,29,1,12,5,23,68,37,56,115,980,47,758,08/04/2020
738,8300,1,28,0,16,13,6,23,4,14,17,24,243,42,37,7,13,10,46,64,73,57,84,865,45,711,07/04/2020
389,7562,0,16,0,12,10,4,10,6,3,10,6,131,18,31,2,4,4,18,53,12,39,90,781,44,666,06/04/2020
340,7173,1,7,0,7,3,0,12,3,2,2,6,172,27,9,1,8,2,7,30,0,41,85,691,44,622,05/04/2020
357,6833,4,18,0,12,2,2,15,1,2,3,12,129,17,11,1,17,6,14,30,3,58,70,606,36,578,04/04/2020
601,6476,1,20,1,16,12,2,29,2,2,6,24,245,59,38,1,17,3,27,48,20,28,80,536,39,542,03/04/2020
554,5875,3,6,1,17,9,4,32,5,7,8,8,216,34,28,0,12,1,18,47,28,70,70,456,47,503,02/04/2020
486,5321,5,19,0,30,4,0,13,5,1,5,8,205,49,25,2,5,2,11,29,5,63,53,386,48,456,01/04/2020
475,4835,1,23,1,14,7,1,17,2,5,6,7,209,49,15,0,8,13,10,29,11,47,48,333,34,408,31/03/2020
416,4360,0,9,0,10,5,2,15,3,1,5,5,172,60,21,1,7,6,23,27,17,27,45,285,29,374,30/03/2020
280,3944,4,10,0,11,2,2,8,1,4,2,3,149,4,11,1,1,9,0,15,3,40,38,240,41,345,29/03/2020
300,3664,0,6,0,12,6,8,10,1,2,4,2,147,8,7,3,5,2,3,25,8,41,35,202,28,304,28/03/2020
365,3364,2,15,1,9,3,3,15,5,4,4,9,176,26,20,1,2,2,11,18,6,33,32,167,29,276,27/03/2020
286,2999,0,8,4,5,9,7,9,6,2,3,7,132,16,12,0,3,3,5,20,6,29,31,135,40,247,26/03/2020
314,2713,3,13,1,7,7,2,7,2,1,5,13,154,37,15,0,4,2,3,19,8,11,22,104,31,207,25/03/2020
230,2399,0,9,0,5,0,4,5,1,2,6,5,105,14,11,3,3,2,4,10,11,30,21,82,32,176,24/03/2020
182,2169,0,9,0,3,4,0,2,3,0,5,7,99,2,8,2,0,2,3,9,6,18,11,61,37,144,23/03/2020
118,1987,0,5,0,0,1,9,1,1,0,4,3,59,11,5,1,1,0,0,4,0,13,11,50,27,107,22/03/2020
136,1869,0,0,0,4,3,16,4,1,0,3,5,71,6,2,1,0,0,0,8,0,12,8,39,13,80,21/03/2020
180,1733,0,5,0,5,5,3,3,1,0,5,5,84,4,1,2,5,0,2,23,5,22,9,31,17,67,20/03/2020
143,1553,0,2,1,0,2,1,2,1,1,1,2,66,5,5,0,2,0,1,14,9,28,7,22,8,50,19/03/2020
145,1410,1,2,1,2,2,4,2,1,1,0,8,58,0,17,1,3,1,0,10,3,28,6,15,15,42,18/03/2020
119,1265,1,3,1,4,3,0,1,0,1,1,6,35,5,5,1,3,1,6,13,16,13,1,9,3,27,17/03/2020
83,1146,0,0,0,2,1,1,2,0,0,0,3,34,12,2,2,2,1,7,6,0,8,2,8,5,24,16/03/2020
69,1063,1,0,0,0,2,7,4,0,1,0,4,17,4,0,1,1,0,0,18,0,9,2,6,5,19,15/03/2020
71,994,0,0,0,1,0,3,0,2,1,0,25,18,1,4,1,3,0,0,5,0,7,1,4,6,14,14/03/2020
152,923,0,1,0,1,9,3,4,0,3,1,42,31,6,10,3,0,2,5,19,2,10,1,3,2,8,13/03/2020
151,771,2,3,0,2,9,5,7,2,2,0,32,42,3,11,4,1,3,0,19,3,1,0,2,0,6,12/03/2020
196,620,6,1,2,1,16,3,16,2,7,4,37,32,6,4,2,0,0,0,57,0,0,2,2,1,6,11/03/2020
98,424,1,0,0,0,1,0,0,1,1,0,34,26,0,4,3,8,6,0,13,0,0,0,0,2,5,10/03/2020
101,326,0,0,0,0,4,0,6,0,0,1,3,64,1,0,7,0,0,0,15,0,0,0,0,0,3,09/03/2020
46,225,0,0,0,0,1,0,2,0,0,0,0,29,0,1,0,0,0,0,11,2,0,0,0,1,3,08/03/2020
33,179,0,0,0,0,0,0,0,0,0,0,5,21,0,1,0,0,0,0,5,1,0,0,0,1,2,07/03/2020
59,146,0,0,0,2,0,0,0,0,0,0,8,36,0,1,11,0,0,0,1,0,0,0,0,1,1,06/03/2020
25,87,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,1,0,0,0,0,0,0,05/03/2020
30,62,0,0,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,0,1,1,0,0,0,0,0,04/03/2020
13,32,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,2,0,0,0,0,0,0,03/03/2020
5,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,02/03/2020
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/03/2020
3,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,29/02/2020
8,11,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,28/02/2020
1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27/02/2020
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/02/2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/02/2020
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/02/2020
